velox_path,bolt_path,category,keep_velox_name,notes
backends-velox/src/main/scala/org/apache/gluten/metrics/HashAggregateMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/HashAggregateMetricsUpdater.scala,minor-modified,no,similarity=0.9848
backends-velox/src/main/scala/org/apache/gluten/metrics/HiveTableScanMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/HiveTableScanMetricsUpdater.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/InputIteratorMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/InputIteratorMetricsUpdater.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/JoinMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/JoinMetricsUpdater.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/LimitMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/LimitMetricsUpdater.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/MetricsUtil.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/MetricsUtil.scala,renamed,yes,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/NestedLoopJoinMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/NestedLoopJoinMetricsUpdater.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/ProjectMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/ProjectMetricsUpdater.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/SampleMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/SampleMetricsUpdater.scala,identical,no,similarity=1.0000
backends-velox/src/main/scala/org/apache/gluten/metrics/SortMetricsUpdater.scala,backends-bolt/src/main/scala/org/apache/gluten/metrics/SortMetricsUpdater.scala,identical,no,similarity=1.0000
